"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","11-Jan-2017","25-Jan-2017","CE","9000","0.75","0.95","0.65","0.8","0.75","0.8","7380","49819.63","4.63","1799850","-24675","8380.65"
"NIFTY","12-Jan-2017","25-Jan-2017","CE","9000","0.95","0.95","0.55","0.6","0.65","0.6","3642","24585.37","1.87","1731300","-68550","8407.2"
"NIFTY","13-Jan-2017","25-Jan-2017","CE","9000","0.6","0.7","0.5","0.55","0.55","0.55","5369","36242.96","2.21","1640175","-91125","8400.35"
"NIFTY","16-Jan-2017","25-Jan-2017","CE","9000","0.45","0.7","0.4","0.65","0.6","0.65","9744","65776.16","4.16","1542000","-98175","8412.8"
"NIFTY","17-Jan-2017","25-Jan-2017","CE","9000","0.65","0.75","0.6","0.65","0.7","0.65","9606","64845.22","4.72","1501875","-40125","8398"
"NIFTY","18-Jan-2017","25-Jan-2017","CE","9000","0.65","0.75","0.35","0.4","0.35","0.4","9476","63966.87","3.87","1575900","74025","8417"
"NIFTY","19-Jan-2017","25-Jan-2017","CE","9000","1.1","1.1","0.3","0.35","0.4","0.35","4020","27136.01","1.01","1486125","-89775","8435.1"
"NIFTY","20-Jan-2017","25-Jan-2017","CE","9000","0.35","0.45","0.3","0.4","0.4","0.4","5997","40481.4","1.65","1487100","975","8349.35"
"NIFTY","23-Jan-2017","25-Jan-2017","CE","9000","0.3","0.35","0.2","0.25","0.25","0.25","6813","45989.11","1.36","1418250","-68850","8391.5"
"NIFTY","24-Jan-2017","25-Jan-2017","CE","9000","0.25","0.3","0.1","0.2","0.15","0.2","6549","44206.79","1.04","1366200","-52050","8475.8"
"NIFTY","25-Jan-2017","25-Jan-2017","CE","9000","0.05","0.1","0.05","0.05","0.05","0","4751","32069.43",".18","1368750","2550","8602.75"
